# Image: fd1440-minix.img (1474560 bytes)
# RunResult: {"executed":107917,"reason":"halt-spin-exhausted"}
# Counts: {"instruction":107916,"int":314,"trap":311,"io":981,"memWrite":1072,"intService":1}

## Section 1: Final IDT state (read from memory after boot)
Vector | Offset | Segment | Linear
-------|--------|---------|--------
  *00   |  3e1a  |  19f2   | 1dd3a
   01   |  1001  |  f000   | f1001
  *02   |  3e20  |  19f2   | 1dd40
   03   |  1003  |  f000   | f1003
   04   |  1004  |  f000   | f1004
   05   |  1005  |  f000   | f1005
   06   |  1006  |  f000   | f1006
   07   |  1007  |  f000   | f1007
  *08   |  3db4  |  19f2   | 1dcd4
  *09   |  3dba  |  19f2   | 1dcda
   0a   |  100a  |  f000   | f100a
   0b   |  100b  |  f000   | f100b
   0c   |  100c  |  f000   | f100c
   0d   |  100d  |  f000   | f100d
   0e   |  100e  |  f000   | f100e
   0f   |  100f  |  f000   | f100f
   10   |  1010  |  f000   | f1010
   11   |  1011  |  f000   | f1011
   12   |  1012  |  f000   | f1012
   13   |  1013  |  f000   | f1013
   14   |  1014  |  f000   | f1014
   15   |  1015  |  f000   | f1015
   16   |  1016  |  f000   | f1016
   17   |  1017  |  f000   | f1017
   18   |  1018  |  f000   | f1018
   19   |  1019  |  f000   | f1019
   1a   |  101a  |  f000   | f101a
   1b   |  101b  |  f000   | f101b
   1c   |  101c  |  f000   | f101c
   1d   |  101d  |  f000   | f101d
   1e   |  2000  |  f000   | f2000
   1f   |  101f  |  f000   | f101f
   20   |  1020  |  f000   | f1020
   21   |  1021  |  f000   | f1021
   22   |  1022  |  f000   | f1022
   23   |  1023  |  f000   | f1023
   24   |  1024  |  f000   | f1024
   25   |  1025  |  f000   | f1025
   26   |  1026  |  f000   | f1026
   27   |  1027  |  f000   | f1027
   28   |  1028  |  f000   | f1028
   29   |  1029  |  f000   | f1029
   2a   |  102a  |  f000   | f102a
   2b   |  102b  |  f000   | f102b
   2c   |  102c  |  f000   | f102c
   2d   |  102d  |  f000   | f102d
   2e   |  102e  |  f000   | f102e
   2f   |  102f  |  f000   | f102f
   30   |  1030  |  f000   | f1030
   31   |  1031  |  f000   | f1031
   32   |  1032  |  f000   | f1032
   33   |  1033  |  f000   | f1033
   34   |  1034  |  f000   | f1034
   35   |  1035  |  f000   | f1035
   36   |  1036  |  f000   | f1036
   37   |  1037  |  f000   | f1037
   38   |  1038  |  f000   | f1038
   39   |  1039  |  f000   | f1039
   3a   |  103a  |  f000   | f103a
   3b   |  103b  |  f000   | f103b
   3c   |  103c  |  f000   | f103c
   3d   |  103d  |  f000   | f103d
   3e   |  103e  |  f000   | f103e
   3f   |  103f  |  f000   | f103f
   40   |  1040  |  f000   | f1040
   41   |  1041  |  f000   | f1041
   42   |  1042  |  f000   | f1042
   43   |  1043  |  f000   | f1043
   44   |  1044  |  f000   | f1044
   45   |  1045  |  f000   | f1045
   46   |  1046  |  f000   | f1046
   47   |  1047  |  f000   | f1047
   48   |  1048  |  f000   | f1048
   49   |  1049  |  f000   | f1049
   4a   |  104a  |  f000   | f104a
   4b   |  104b  |  f000   | f104b
   4c   |  104c  |  f000   | f104c
   4d   |  104d  |  f000   | f104d
   4e   |  104e  |  f000   | f104e
   4f   |  104f  |  f000   | f104f
   50   |  1050  |  f000   | f1050
   51   |  1051  |  f000   | f1051
   52   |  1052  |  f000   | f1052
   53   |  1053  |  f000   | f1053
   54   |  1054  |  f000   | f1054
   55   |  1055  |  f000   | f1055
   56   |  1056  |  f000   | f1056
   57   |  1057  |  f000   | f1057
   58   |  1058  |  f000   | f1058
   59   |  1059  |  f000   | f1059
   5a   |  105a  |  f000   | f105a
   5b   |  105b  |  f000   | f105b
   5c   |  105c  |  f000   | f105c
   5d   |  105d  |  f000   | f105d
   5e   |  105e  |  f000   | f105e
   5f   |  105f  |  f000   | f105f
   60   |  1060  |  f000   | f1060
   61   |  1061  |  f000   | f1061
   62   |  1062  |  f000   | f1062
   63   |  1063  |  f000   | f1063
   64   |  1064  |  f000   | f1064
   65   |  1065  |  f000   | f1065
   66   |  1066  |  f000   | f1066
   67   |  1067  |  f000   | f1067
   68   |  1068  |  f000   | f1068
   69   |  1069  |  f000   | f1069
   6a   |  106a  |  f000   | f106a
   6b   |  106b  |  f000   | f106b
   6c   |  106c  |  f000   | f106c
   6d   |  106d  |  f000   | f106d
   6e   |  106e  |  f000   | f106e
   6f   |  106f  |  f000   | f106f
   70   |  1070  |  f000   | f1070
   71   |  1071  |  f000   | f1071
   72   |  1072  |  f000   | f1072
   73   |  1073  |  f000   | f1073
   74   |  1074  |  f000   | f1074
   75   |  1075  |  f000   | f1075
   76   |  1076  |  f000   | f1076
   77   |  1077  |  f000   | f1077
   78   |  1078  |  f000   | f1078
   79   |  1079  |  f000   | f1079
   7a   |  107a  |  f000   | f107a
   7b   |  107b  |  f000   | f107b
   7c   |  107c  |  f000   | f107c
   7d   |  107d  |  f000   | f107d
   7e   |  107e  |  f000   | f107e
   7f   |  107f  |  f000   | f107f
  *80   |  3e14  |  19f2   | 1dd34
   81   |  1081  |  f000   | f1081
   82   |  1082  |  f000   | f1082
   83   |  1083  |  f000   | f1083
   84   |  1084  |  f000   | f1084
   85   |  1085  |  f000   | f1085
   86   |  1086  |  f000   | f1086
   87   |  1087  |  f000   | f1087
   88   |  1088  |  f000   | f1088
   89   |  1089  |  f000   | f1089
   8a   |  108a  |  f000   | f108a
   8b   |  108b  |  f000   | f108b
   8c   |  108c  |  f000   | f108c
   8d   |  108d  |  f000   | f108d
   8e   |  108e  |  f000   | f108e
   8f   |  108f  |  f000   | f108f
   90   |  1090  |  f000   | f1090
   91   |  1091  |  f000   | f1091
   92   |  1092  |  f000   | f1092
   93   |  1093  |  f000   | f1093
   94   |  1094  |  f000   | f1094
   95   |  1095  |  f000   | f1095
